machine_id;abs_event_time;event_type;censor_status;event_cost;fixed_cov_1;fixed_cov_2;fixed_cov_3;fixed_cov_4;dynamic_cov_1_at_failure;event_type_label
1;1.0;-2;1;43.66121117408285;1.0;0.0;1.0;1.0;0.0;PM
1;2.0;-2;1;53.21004700136973;1.0;0.0;1.0;1.0;0.0;PM
1;3.0;2;1;27.28847163981704;1.0;0.0;1.0;1.0;0.0;Minor_2
1;3.0;-2;1;39.81855056898311;1.0;0.0;1.0;1.0;0.0;PM
1;4.0;-2;1;60.76208428549606;1.0;0.0;1.0;1.0;0.0;PM
1;4.0;1;1;67.04121094023242;1.0;0.0;1.0;1.0;0.0;Minor_1
1;5.0;2;1;57.551731106296835;1.0;0.0;1.0;1.0;0.0;Minor_2
1;5.0;-2;1;33.34347544486465;1.0;0.0;1.0;1.0;0.0;PM
1;6.0;-2;1;48.11947153166989;1.0;0.0;1.0;1.0;0.0;PM
1;6.0;3;1;96.0956802839527;1.0;0.0;1.0;1.0;0.0;Minor_3 (combo 1&2)
1;7.0;1;1;56.33666935326134;1.0;0.0;1.0;1.0;1.0;Minor_1
1;7.0;-2;1;62.41943537430872;1.0;0.0;1.0;1.0;1.0;PM
1;8.0;-2;1;40.76242503629692;1.0;0.0;1.0;1.0;1.0;PM
1;8.0;2;1;46.84131103706526;1.0;0.0;1.0;1.0;1.0;Minor_2
1;9.0;2;1;59.1379284974712;1.0;0.0;1.0;1.0;1.0;Minor_2
1;9.0;-2;1;70.83994790231853;1.0;0.0;1.0;1.0;1.0;PM
1;10.0;-2;1;43.543229915789986;1.0;0.0;1.0;1.0;1.0;PM
1;10.0;1;1;53.20308332440485;1.0;0.0;1.0;1.0;1.0;Minor_1
1;11.0;2;1;56.76437221457149;1.0;0.0;1.0;1.0;1.0;Minor_2
1;11.0;-2;1;90.30040440183669;1.0;0.0;1.0;1.0;1.0;PM
1;12.0;-2;1;36.46125752037782;1.0;0.0;1.0;1.0;1.0;PM
1;12.0;2;1;40.563398342663994;1.0;0.0;1.0;1.0;1.0;Minor_2
1;13.0;2;1;42.34608540637218;1.0;0.0;1.0;1.0;1.0;Minor_2
1;13.0;-2;1;75.12838026848846;1.0;0.0;1.0;1.0;1.0;PM
1;14.0;-2;1;51.73532190535224;1.0;0.0;1.0;1.0;1.0;PM
1;14.0;1;1;44.44196378788192;1.0;0.0;1.0;1.0;1.0;Minor_1
1;15.0;2;1;52.337603020974065;1.0;0.0;1.0;1.0;1.0;Minor_2
1;15.0;-2;1;90.23801547089523;1.0;0.0;1.0;1.0;1.0;PM
1;16.0;-2;1;44.91779346893511;1.0;0.0;1.0;1.0;1.0;PM
1;16.0;2;1;64.40448526855397;1.0;0.0;1.0;1.0;1.0;Minor_2
1;17.0;-2;1;33.75104620185183;1.0;0.0;1.0;1.0;1.0;PM
1;17.0;2;1;51.585065652247664;1.0;0.0;1.0;1.0;1.0;Minor_2
1;18.0;-2;1;35.123817664588074;1.0;0.0;1.0;1.0;1.0;PM
1;18.0;1;1;55.80616471006692;1.0;0.0;1.0;1.0;1.0;Minor_1
1;19.0;2;1;32.579682253667315;1.0;0.0;1.0;1.0;1.0;Minor_2
1;19.0;-2;1;43.19238717621131;1.0;0.0;1.0;1.0;1.0;PM
1;20.0;2;1;63.020086240910096;1.0;0.0;1.0;1.0;1.0;Minor_2
1;20.0;-2;1;42.389828665657106;1.0;0.0;1.0;1.0;1.0;PM
1;21.0;1;1;54.68503614667922;1.0;0.0;1.0;1.0;1.0;Minor_1
1;21.0;-2;1;51.42726605582424;1.0;0.0;1.0;1.0;1.0;PM
1;22.0;-2;1;35.60433666589021;1.0;0.0;1.0;1.0;1.0;PM
1;22.0;2;1;57.77386953269405;1.0;0.0;1.0;1.0;1.0;Minor_2
1;23.0;-2;1;57.06516744703744;1.0;0.0;1.0;1.0;1.0;PM
1;23.0;2;1;50.80847761530073;1.0;0.0;1.0;1.0;1.0;Minor_2
1;24.0;2;1;43.530524481282356;1.0;0.0;1.0;1.0;1.0;Minor_2
1;24.0;-2;1;58.72465459296065;1.0;0.0;1.0;1.0;1.0;PM
1;25.0;-2;1;54.371330432288026;1.0;0.0;1.0;1.0;1.0;PM
1;25.0;2;1;31.318959099886726;1.0;0.0;1.0;1.0;1.0;Minor_2
1;26.0;-2;1;37.20040039066393;1.0;0.0;1.0;1.0;1.0;PM
1;26.0;1;1;43.88299835762831;1.0;0.0;1.0;1.0;1.0;Minor_1
1;27.0;1;1;52.447870655444945;1.0;0.0;1.0;1.0;1.0;Minor_1
1;27.0;-2;1;41.994725652834916;1.0;0.0;1.0;1.0;1.0;PM
1;28.0;2;1;27.33035727105552;1.0;0.0;1.0;1.0;1.0;Minor_2
1;28.0;-2;1;33.91969829709893;1.0;0.0;1.0;1.0;1.0;PM
1;29.0;1;1;63.71484338651424;1.0;0.0;1.0;1.0;1.0;Minor_1
1;29.0;-2;1;50.941000520228776;1.0;0.0;1.0;1.0;1.0;PM
1;30.0;-2;1;57.16272690453283;1.0;0.0;1.0;1.0;1.0;PM
1;30.0;3;1;145.28983121747393;1.0;0.0;1.0;1.0;1.0;Minor_3 (combo 1&2)
1;31.0;1;1;41.65490155843075;1.0;0.0;1.0;1.0;1.0;Minor_1
1;31.0;-2;1;61.671656964085635;1.0;0.0;1.0;1.0;1.0;PM
1;32.0;2;1;37.329242909397095;1.0;0.0;1.0;1.0;1.0;Minor_2
1;32.0;-2;1;38.739839437499285;1.0;0.0;1.0;1.0;1.0;PM
1;33.0;2;1;56.43306165612769;1.0;0.0;1.0;1.0;1.0;Minor_2
1;33.0;-2;1;35.262944857708135;1.0;0.0;1.0;1.0;1.0;PM
1;34.0;-2;1;31.691907181374745;1.0;0.0;1.0;1.0;1.0;PM
1;34.0;2;1;49.284446447755116;1.0;0.0;1.0;1.0;1.0;Minor_2
1;35.0;1;1;85.3378191225135;1.0;0.0;1.0;1.0;1.0;Minor_1
1;35.0;-2;1;47.361258562440504;1.0;0.0;1.0;1.0;1.0;PM
1;36.0;-2;1;38.62396808784285;1.0;0.0;1.0;1.0;1.0;PM
1;36.0;2;1;49.26972726108306;1.0;0.0;1.0;1.0;1.0;Minor_2
1;37.0;3;1;88.73620522060676;1.0;0.0;1.0;1.0;1.0;Minor_3 (combo 1&2)
1;37.0;-2;1;32.10092930107539;1.0;0.0;1.0;1.0;1.0;PM
1;38.0;-2;1;45.24853935226222;1.0;0.0;1.0;1.0;1.0;PM
1;38.0;2;1;53.51417191504565;1.0;0.0;1.0;1.0;1.0;Minor_2
1;39.0;2;1;54.91291825829932;1.0;0.0;1.0;1.0;1.0;Minor_2
1;39.0;-2;1;61.47564705264314;1.0;0.0;1.0;1.0;1.0;PM
1;40.0;-2;1;74.35921527351681;1.0;0.0;1.0;1.0;1.0;PM
1;40.0;1;1;41.07310074341409;1.0;0.0;1.0;1.0;1.0;Minor_1
1;41.0;1;1;49.832783287813854;1.0;0.0;1.0;1.0;1.0;Minor_1
1;41.0;-2;1;65.35767156777351;1.0;0.0;1.0;1.0;1.0;PM
1;42.0;-2;1;43.04743370317627;1.0;0.0;1.0;1.0;1.0;PM
1;42.0;1;1;64.67921417553923;1.0;0.0;1.0;1.0;1.0;Minor_1
1;43.0;1;1;49.086450727242976;1.0;0.0;1.0;1.0;1.0;Minor_1
1;43.0;-2;1;35.224300078893236;1.0;0.0;1.0;1.0;1.0;PM
1;44.0;-2;1;56.7128807948135;1.0;0.0;1.0;1.0;1.0;PM
1;44.0;2;1;56.9896348680752;1.0;0.0;1.0;1.0;1.0;Minor_2
1;45.0;2;1;42.41870253185657;1.0;0.0;1.0;1.0;1.0;Minor_2
1;45.0;-2;1;35.68187464140962;1.0;0.0;1.0;1.0;1.0;PM
1;46.0;1;1;62.480904940948065;1.0;0.0;1.0;1.0;1.0;Minor_1
1;46.0;-2;1;35.04062441466972;1.0;0.0;1.0;1.0;1.0;PM
1;47.0;-2;1;72.85331643137009;1.0;0.0;1.0;1.0;1.0;PM
1;47.0;1;1;60.69539807797945;1.0;0.0;1.0;1.0;1.0;Minor_1
1;48.0;2;1;37.70423546306968;1.0;0.0;1.0;1.0;1.0;Minor_2
1;48.0;-2;1;35.16248154122723;1.0;0.0;1.0;1.0;1.0;PM
1;49.0;1;1;50.70726074253519;1.0;0.0;1.0;1.0;1.0;Minor_1
1;49.0;-2;1;49.11728751645356;1.0;0.0;1.0;1.0;1.0;PM
1;50.0;-2;1;47.037373897876606;1.0;0.0;1.0;1.0;1.0;PM
1;50.0;1;1;53.326298647615836;1.0;0.0;1.0;1.0;1.0;Minor_1
1;51.0;3;1;115.86632174283494;1.0;0.0;1.0;1.0;1.0;Minor_3 (combo 1&2)
1;51.0;-2;1;36.653614282465064;1.0;0.0;1.0;1.0;1.0;PM
1;52.0;-2;1;47.66031904754496;1.0;0.0;1.0;1.0;1.0;PM
1;52.0;1;1;53.02900649505481;1.0;0.0;1.0;1.0;1.0;Minor_1
1;53.0;3;1;114.42412240556112;1.0;0.0;1.0;1.0;1.0;Minor_3 (combo 1&2)
1;53.0;-2;1;38.075373418744775;1.0;0.0;1.0;1.0;1.0;PM
1;54.0;-2;1;46.95488503537666;1.0;0.0;1.0;1.0;1.0;PM
1;54.0;1;1;61.14185845727371;1.0;0.0;1.0;1.0;1.0;Minor_1
1;55.0;1;1;52.36535418209682;1.0;0.0;1.0;1.0;1.0;Minor_1
